passenger_id,satisfaction,Gender,Customer Type,Age,fare_conditions,Flight Distance,Seat comfort,seat_no,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
9384 205645,dissatisfied,Male,Loyal Customer,49,Business,2917,2,10C,5,2,4,3,2,3,3,3,5,3,4,4,3,0,0.0
0544 834528,dissatisfied,Male,Loyal Customer,23,Comfort,1884,4,10D,4,2,2,5,2,5,5,4,2,4,4,4,5,1,11.0
6365 326222,dissatisfied,Male,disloyal Customer,20,Economy,2071,1,10E,1,1,3,1,1,1,1,4,4,4,4,4,1,26,10.0
7686 012334,satisfied,Male,Loyal Customer,30,Comfort,1533,5,10F,2,5,5,5,5,5,5,1,3,1,2,1,5,0,0.0
1564 396952,dissatisfied,Male,Loyal Customer,77,Economy,1660,3,11A,3,4,3,3,2,2,3,3,3,3,3,3,4,0,0.0
2279 938743,dissatisfied,Male,Loyal Customer,36,Economy,1681,2,11B,3,3,3,5,4,3,2,2,2,2,3,2,3,20,12.0
8140 620813,satisfied,Female,Loyal Customer,44,Economy,232,5,17D,4,5,4,5,5,5,4,4,5,4,4,4,4,0,0.0
9257 239781,dissatisfied,Male,disloyal Customer,36,Economy,1846,2,17E,2,2,3,2,2,2,2,2,5,4,4,4,2,36,35.0
5829 268568,satisfied,Male,Loyal Customer,80,Comfort,1278,5,17F,3,3,3,5,5,5,5,3,5,3,5,2,5,0,0.0
7140 936574,dissatisfied,Male,Loyal Customer,46,Comfort,4288,3,18A,5,2,5,2,3,2,1,3,4,4,2,1,2,168,201.0
6055 541445,satisfied,Female,Loyal Customer,35,Economy,385,2,18B,2,3,2,2,5,5,4,4,4,4,4,4,5,0,0.0
6856 343851,dissatisfied,Female,Loyal Customer,61,Comfort,371,3,18C,1,1,1,4,3,3,3,3,3,3,3,3,2,0,36.0
1989 394243,satisfied,Female,Loyal Customer,61,Business,353,4,18D,4,4,4,3,5,5,5,5,5,5,5,5,3,0,0.0
7497 108600,dissatisfied,Male,Loyal Customer,44,Comfort,2051,1,18E,0,1,5,1,5,5,4,2,5,5,5,5,5,83,142.0
5324 130395,satisfied,Male,Loyal Customer,21,Economy,3527,5,18F,5,5,5,3,3,3,5,3,4,3,3,5,3,54,49.0
6259 021260,dissatisfied,Male,disloyal Customer,57,Economy,1560,3,19A,0,3,1,1,3,1,1,2,3,3,5,3,1,0,0.0
6849 694832,satisfied,Male,Loyal Customer,58,Comfort,2824,5,19B,5,5,5,3,5,5,4,4,4,4,5,4,4,0,0.0
9542 445779,dissatisfied,Male,Loyal Customer,25,Economy,1876,4,19C,5,4,3,4,4,5,4,3,2,4,1,4,4,82,70.0
2536 676370,satisfied,Female,Loyal Customer,62,Economy,959,2,19D,2,2,2,2,5,5,4,4,4,4,4,4,5,0,0.0
3392 878429,dissatisfied,Male,Loyal Customer,42,Comfort,1951,4,20E,5,4,1,2,4,2,2,3,1,3,5,5,2,0,0.0
0207 310663,satisfied,Male,Loyal Customer,47,Economy,3835,4,20F,5,4,4,4,4,4,5,4,5,5,4,4,4,933,920.0
6808 774590,dissatisfied,Female,disloyal Customer,29,Economy,1859,1,21A,0,1,4,5,1,5,5,5,2,4,5,2,5,3,5.0
5582 658715,dissatisfied,Male,Loyal Customer,9,Economy,5397,3,21B,3,3,3,3,3,3,3,2,4,3,3,2,3,8,19.0
8109 611094,satisfied,Male,Loyal Customer,80,Comfort,2727,5,21C,5,5,5,4,4,4,5,5,5,5,4,5,4,0,0.0
2489 626224,dissatisfied,Male,disloyal Customer,32,Comfort,1565,3,21D,3,3,3,2,3,2,2,5,2,4,3,4,2,0,0.0
2811 332014,satisfied,Female,Loyal Customer,55,Business,309,1,21E,1,1,1,2,4,4,5,5,5,5,3,5,5,0,0.0
7198 591092,satisfied,Female,Loyal Customer,43,Economy,1730,3,21F,3,3,3,2,4,4,5,5,5,5,5,5,3,1,8.0
3262 369338,satisfied,Male,Loyal Customer,52,Economy,2135,1,1A,1,1,1,5,4,4,5,5,5,5,3,5,5,0,0.0
4128 658175,dissatisfied,Female,disloyal Customer,17,Comfort,1451,1,1C,3,1,3,3,1,3,3,5,3,3,5,3,3,10,4.0
6709 734767,satisfied,Female,Loyal Customer,40,Comfort,2285,5,1D,5,5,5,2,2,2,3,2,5,4,2,4,2,211,213.0
0326 266595,dissatisfied,Female,Loyal Customer,44,Business,3265,3,1F,4,4,4,1,4,3,3,3,3,3,1,3,4,0,0.0
2215 922557,satisfied,Male,Loyal Customer,41,Economy,1144,1,2A,1,4,1,4,4,5,5,5,5,5,4,5,3,0,0.0
2290 450397,satisfied,Male,Loyal Customer,41,Comfort,2466,5,2C,5,5,5,4,4,4,5,5,5,5,5,5,4,0,0.0
2467 774707,satisfied,Female,Loyal Customer,57,Economy,429,5,2D,5,3,5,1,2,1,4,4,4,4,1,4,3,0,0.0
7650 555895,dissatisfied,Male,Loyal Customer,51,Economy,3549,1,2F,1,1,1,1,4,3,1,1,1,1,4,1,1,0,7.0
5364 307705,satisfied,Female,Loyal Customer,40,Comfort,2789,3,3A,3,4,3,4,4,5,4,4,5,4,3,4,4,36,42.0
1115 708092,satisfied,Male,Loyal Customer,43,Business,3020,1,3C,1,1,1,5,5,5,4,4,4,4,5,4,3,55,54.0
7066 161500,dissatisfied,Male,Loyal Customer,54,Economy,4882,2,3D,3,5,5,3,2,4,2,1,4,3,4,2,4,326,317.0
6903 458379,satisfied,Female,Loyal Customer,45,Comfort,684,2,3F,2,1,2,2,4,4,4,4,4,4,3,4,4,0,0.0
2651 489583,satisfied,Female,Loyal Customer,54,Comfort,864,4,4A,4,4,4,4,4,4,4,5,2,5,5,5,4,13,0.0
5534 060462,dissatisfied,Male,Loyal Customer,25,Economy,3205,1,4C,4,1,3,2,1,2,2,4,2,3,1,4,2,14,8.0
1527 165464,dissatisfied,Female,Loyal Customer,29,Business,3842,1,4D,3,3,3,1,1,1,1,1,3,4,4,4,1,0,0.0
1051 084909,satisfied,Female,Loyal Customer,37,Comfort,2326,5,4F,5,5,5,5,4,4,5,5,5,5,3,5,3,25,28.0
8616 037931,satisfied,Female,Loyal Customer,26,Economy,1809,3,5A,5,3,3,5,5,5,5,3,3,5,3,4,5,128,126.0
8557 326046,satisfied,Female,Loyal Customer,70,Economy,233,0,5C,0,0,3,3,1,3,2,2,2,2,3,2,1,35,40.0
1662 000481,dissatisfied,Male,Loyal Customer,34,Business,1950,2,5D,3,3,3,4,3,3,2,2,2,2,3,2,3,90,90.0
2432 012911,dissatisfied,Male,Loyal Customer,64,Economy,3893,1,5F,4,1,3,1,2,2,5,4,3,4,2,4,2,16,40.0
6723 926887,dissatisfied,Male,Loyal Customer,46,Business,3100,1,6A,5,1,3,2,1,2,2,5,4,2,4,3,2,0,0.0
3608 388798,dissatisfied,Female,disloyal Customer,40,Comfort,1857,3,6B,3,3,3,5,3,5,5,1,3,5,1,1,5,0,0.0
7140 268929,satisfied,Female,Loyal Customer,54,Comfort,1779,1,6C,1,1,1,5,3,5,4,4,4,4,5,4,3,0,3.0
8851 001440,satisfied,Male,Loyal Customer,28,Business,5106,3,6D,3,4,3,5,5,5,5,3,2,4,4,5,5,41,22.0
3802 843058,dissatisfied,Male,Loyal Customer,11,Economy,1838,2,6E,5,2,2,2,2,2,2,3,4,5,3,5,2,9,1.0
7953 226769,dissatisfied,Male,Loyal Customer,43,Business,1380,4,6F,3,3,3,4,4,4,4,1,2,2,3,3,4,0,0.0
4046 519379,satisfied,Female,Loyal Customer,54,Economy,3624,1,7A,1,1,1,5,4,4,2,2,2,2,3,2,4,0,7.0
7906 253170,satisfied,Female,Loyal Customer,17,Comfort,1557,4,7B,4,1,4,4,4,4,4,3,3,3,1,1,4,0,0.0
3499 600919,dissatisfied,Female,Loyal Customer,25,Business,2183,1,7C,3,4,4,1,1,2,1,1,3,4,4,3,1,1,7.0
7634 557379,dissatisfied,Male,Loyal Customer,47,Economy,1561,4,7D,4,4,3,5,4,5,5,3,2,5,3,5,5,0,0.0
3040 999771,dissatisfied,Male,Loyal Customer,64,Economy,2384,1,7E,1,1,1,3,2,3,1,1,1,1,4,1,4,3,0.0
